# Confirmed gcc c-torture/execute miscompiles under +mos-a16 / +mos-xy16, found by the
# Phase 2 full-suite differential run (2026-06-19, -O1) and CONFIRMED in isolation on a
# quiet box with bsnes-jg as an independent second oracle (a16 fails reproduce on BOTH
# MAME and bsnes-jg; xy16 fails reproduce isolated on MAME). The DEFAULT (non-a16) build
# self-checks PASS on every one of these, so each is a real codegen defect, not a
# target-inappropriate test. tools/torture_run.py reads this list and reports a listed
# test as XFAIL instead of FAIL, so the gate stays green-modulo-known (the standard for a
# compiler test suite) while the backlog is triaged + fixed one at a time.
#
# These are NOT the known register-pressure family (those are build-time crashes/overflows
# matched by a16_fuzz.py KNOWN_ISSUES — regalloc-out-of-registers / scavenger-p-not-gpr /
# a16-zp-pressure-overflow). These are RUNTIME wrong-value miscompiles (a16/xy16 computes a
# wrong result -> the test's own self-check fails -> corpus_result = 0xDEAD).
#
# Remove a row when its defect is fixed (so the test hard-FAILS again = regression guard).
#
# test          feature   note (one-line characterization; deep root-cause is per-test follow-up)
20010518-2.c    a16       mis-aligned packed structures
20020402-1.c    a16       derived from PR c/2100 (pointer/struct)
20071202-1.c    a16       nested structs with int arrays
20071210-1.c    a16       PR rtl-optimization/34302 (label-values / computed goto)
20080522-1.c    a16       referenced-vars / address-taken induction var
921117-1.c      a16       struct return / layout
990127-1.c      a16       (hand-written correctness test)
990811-1.c      a16       (hand-written correctness test)
pr20466-1.c     a16       PR (multi-pointer noinline function)
pr35472.c       a16       memset over a struct
pr39120.c       a16       struct-by-value / pointer member (noinline)
pr49419.c       a16+xy16  PR tree-optimization/49419 (xy16 also -> 0x0000)
pr7284-1.c      a16+xy16  signed left-shift (impl-defined, DR#081)
20041011-1.c    xy16      xy16 index-mode miscompile
doloop-1.c      xy16      counted loop at INT limits (limits.h)
va-arg-22.c     xy16      variadic argument handling
